,Rank,Country,Population,Date,%ofworldpopulation,Source
0,1,China,1394880000.0,"October29,2018",18.2%,Officialpopulationclock
1,2,India,1338860000.0,"October29,2018",17.5%,Officialpopulationclock
2,3,UnitedStates,328082000.0,"October29,2018",4.28%,Officialpopulationclock
3,4,Indonesia,265015300.0,"July1,2018",3.46%,Officialannualprojection
4,5,Brazil,209776000.0,"October29,2018",2.74%,Officialpopulationclock
5,6,Pakistan,202488000.0,"October29,2018",2.64%,Officialpopulationclock
6,7,Nigeria,193392517.0,"July1,2016",2.52%,Officialestimate
7,8,Bangladesh,165441000.0,"October29,2018",2.16%,Officialpopulationclock
8,9,Russia,146877088.0,"January1,2018",1.92%,Officialestimate
9,10,Japan,126440000.0,"October1,2018",1.65%,Monthlyprovisionalestimate
10,11,Mexico,119938473.0,"March15,2015",1.57%,2015censusresult
11,12,Ethiopia,107534882.0,"July1,2018",1.4%,UNProjection
12,13,Philippines,106680000.0,"October29,2018",1.39%,Officialpopulationclock
13,14,Egypt,97804700.0,"October29,2018",1.28%,Officialpopulationclock
14,15,Vietnam,94660000.0,"July1,2018",1.24%,Officialannualestimate
15,16,DRCongo,84004989.0,"July1,2018",1.1%,UNProjection
16,17,Germany,82793800.0,"March31,2018",1.08%,Officialquarterdata
17,18,Iran,81909700.0,"October29,2018",1.07%,Officialpopulationclock
18,19,Turkey,80810525.0,"December31,2017",1.05%,Officialestimate
19,20,Thailand,69183173.0,"July1,2018",0.9%,UNProjection
20,21,France,67348000.0,"October1,2018",0.88%,Monthlyofficialestimate
21,22,UnitedKingdom,66040229.0,"June30,2017",0.86%,Officialannualestimate
22,23,Italy,60415129.0,"May31,2018",0.79%,Monthlyofficialestimate
23,24,SouthAfrica,57725600.0,"July1,2018",0.75%,Officialannualestimate
24,25,Tanzania,54199163.0,"July1,2018",0.71%,Officialannualprojection
25,26,Myanmar,53862731.0,"July1,2018",0.7%,Officialannualprojection
26,27,SouthKorea,51635256.0,"July1,2018",0.67%,Officialannualestimate
27,28,Kenya,50950879.0,"July1,2018",0.67%,UNprojection
28,29,Colombia,50013100.0,"October29,2018",0.653%,Officialpopulationclock
29,30,Spain,46659302.0,"January1,2018",0.61%,Officialestimate
30,31,Argentina,44494502.0,"July1,2018",0.58%,Officialannualprojection
31,32,Algeria,42545964.0,"July1,2018",0.56%,Officialannualprojection
32,33,Ukraine,42234014.0,"September1,2018",0.55%,Monthlyofficialestimate
33,34,Sudan,40943445.0,"October29,2018",0.53%,Officialpopulationclock
34,35,Iraq,39339753.0,"July1,2018",0.51%,UNprojection
35,36,Uganda,38823100.0,"July1,2018",0.51%,Officialannualprojection
36,37,Poland,38433600.0,"December31,2017",0.5%,Officialestimate
37,38,Canada,37268100.0,"October29,2018",0.486%,Officialpopulationclock
38,39,Morocco,34828600.0,"October29,2018",0.455%,Officialpopulationclock
